no,entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl_pips,profit_usd,profit_inr,equity_inr,bars_held
1,2021-01-03 23:02:00,2021-01-03 23:02:00,SELL,1908.528,1908.928,1905.328,1908.928,loss,-4.0,-0.4,-33.2,99966.8,1
2,2021-01-03 23:04:00,2021-01-03 23:29:00,SELL,1910.198,1910.598,1906.998,1910.598,loss,-4.0,-0.4,-33.2,99933.6,26
3,2021-01-03 23:36:00,2021-01-03 23:41:00,SELL,1914.208,1914.608,1911.008,1914.608,loss,-4.0,-0.4,-33.2,99900.4,6
4,2021-01-03 23:43:00,2021-01-03 23:55:00,SELL,1914.105,1914.505,1910.905,1910.905,win,32.0,3.2,265.6,100166.0,13
5,2021-01-04 00:01:00,2021-01-04 00:59:00,SELL,1912.798,1913.198,1909.598,1913.198,loss,-4.0,-0.4,-33.2,100132.8,59
6,2021-01-04 01:01:00,2021-01-04 01:01:00,SELL,1913.168,1913.568,1909.968,1913.568,loss,-4.0,-0.4,-33.2,100099.6,1
7,2021-01-04 01:08:00,2021-01-04 01:08:00,SELL,1916.028,1916.428,1912.828,1916.428,loss,-4.0,-0.4,-33.2,100066.4,1
8,2021-01-04 01:12:00,2021-01-04 01:14:00,SELL,1916.108,1916.508,1912.908,1916.508,loss,-4.0,-0.4,-33.2,100033.2,3
9,2021-01-04 01:23:00,2021-01-04 01:29:00,SELL,1914.754,1915.154,1911.554,1915.154,loss,-4.0,-0.4,-33.2,100000.0,7
10,2021-01-04 01:32:00,2021-01-04 01:37:00,SELL,1914.365,1914.765,1911.165,1914.765,loss,-4.0,-0.4,-33.2,99966.8,6
11,2021-01-04 01:42:00,2021-01-04 01:42:00,SELL,1916.365,1916.765,1913.165,1916.765,loss,-4.0,-0.4,-33.2,99933.6,1
12,2021-01-04 01:47:00,2021-01-04 01:47:00,SELL,1915.365,1915.765,1912.165,1915.765,loss,-4.0,-0.4,-33.2,99900.4,1
13,2021-01-04 01:52:00,2021-01-04 02:13:00,SELL,1917.775,1918.175,1914.575,1918.175,loss,-4.0,-0.4,-33.2,99867.2,22
14,2021-01-04 02:17:00,2021-01-04 02:19:00,SELL,1918.415,1918.815,1915.215,1918.815,loss,-4.0,-0.4,-33.2,99834.0,3
15,2021-01-04 02:21:00,2021-01-04 02:44:00,SELL,1918.645,1919.045,1915.445,1919.045,loss,-4.0,-0.4,-33.2,99800.8,24
16,2021-01-04 02:51:00,2021-01-04 02:52:00,SELL,1919.788,1920.188,1916.588,1920.188,loss,-4.0,-0.4,-33.2,99767.6,2
17,2021-01-04 02:54:00,2021-01-04 02:54:00,SELL,1919.985,1920.385,1916.785,1920.385,loss,-4.0,-0.4,-33.2,99734.4,1
18,2021-01-04 02:58:00,2021-01-04 02:59:00,SELL,1921.355,1921.755,1918.155,1921.755,loss,-4.0,-0.4,-33.2,99701.2,2
19,2021-01-04 03:00:00,2021-01-04 03:15:00,SELL,1921.695,1922.095,1918.495,1922.095,loss,-4.0,-0.4,-33.2,99668.0,16
