sl,rr,trades,wins,losses,timeouts,wr,pnl_pips,profit_usd,profit_inr,final_capital_inr,roi_percent,pf,max_dd_pips,max_dd_inr,avg_pips,best_tag
4,8,95095,11869,83226,29,12.48,46904.0,4690.4,389303.2,489303.2,389.3,1.141,2448.0,20318.4,0.49,BEST_PROFIT
3,8,116757,14655,102102,2,12.55,45414.0,4541.4,376936.2,476936.2,376.94,1.148,1833.0,15213.9,0.39,BEST_PF
4,7,100299,13878,86421,11,13.84,42900.0,4290.0,356070.0,456070.0,356.07,1.124,2252.0,18691.6,0.43,
3,7,121886,16943,104943,1,13.9,40974.0,4097.4,340084.2,440084.2,340.08,1.13,1359.0,11279.7,0.34,
5,7,84717,11561,73156,49,13.65,38855.0,3885.5,322496.5,422496.5,322.5,1.106,2930.0,24319.0,0.46,
6,8,68366,8309,60057,141,12.15,38490.0,3849.0,319467.0,419467.0,319.47,1.107,4626.0,38395.8,0.56,
5,8,79976,9735,70241,75,12.17,38195.0,3819.5,317018.5,417018.5,317.02,1.109,4180.0,34694.0,0.48,
4,6,106310,16485,89825,4,15.51,36340.0,3634.0,301622.0,401622.0,301.62,1.101,1940.0,16102.0,0.34,
6,7,72621,9830,62791,92,13.54,36114.0,3611.4,299746.2,399746.2,299.75,1.096,4494.0,37300.2,0.5,
5,6,90271,13914,76357,24,15.41,35635.0,3563.5,295770.5,395770.5,295.77,1.093,2785.0,23115.5,0.39,
7,7,63207,8526,54681,155,13.49,35007.0,3500.7,290558.1,390558.1,290.56,1.091,4438.0,36835.4,0.55,
7,8,59069,7109,51960,233,12.04,34384.0,3438.4,285387.2,385387.2,285.39,1.095,4592.0,38113.6,0.58,
3,6,127770,19875,107895,0,15.56,34065.0,3406.5,282739.5,382739.5,282.74,1.105,1449.0,12026.7,0.27,
6,6,77845,11917,65928,59,15.31,33444.0,3344.4,277585.2,377585.2,277.59,1.085,3834.0,31822.2,0.43,
8,7,55581,7453,48128,252,13.41,32344.0,3234.4,268455.2,368455.2,268.46,1.084,5232.0,43425.6,0.58,
8,8,52200,6228,45972,309,11.93,30816.0,3081.6,255772.8,355772.8,255.77,1.084,7040.0,58432.0,0.59,
8,6,60105,9135,50970,170,15.2,30720.0,3072.0,254976.0,354976.0,254.98,1.075,5104.0,42363.2,0.51,
6,5,84225,14883,69342,25,17.67,30438.0,3043.8,252635.4,352635.4,252.64,1.073,3198.0,26543.4,0.36,
7,6,67834,10302,57532,97,15.19,29960.0,2996.0,248668.0,348668.0,248.67,1.074,4718.0,39159.4,0.44,
4,5,113309,20094,93215,0,17.73,29020.0,2902.0,240866.0,340866.0,240.87,1.078,2056.0,17064.8,0.26,
7,5,73773,12966,60807,63,17.58,28161.0,2816.1,233736.3,333736.3,233.74,1.066,3766.0,31257.8,0.38,
5,5,97075,17107,79968,11,17.62,27835.0,2783.5,231030.5,331030.5,231.03,1.07,2450.0,20335.0,0.29,
3,5,134964,23977,110987,0,17.77,26694.0,2669.4,221560.2,321560.2,221.56,1.08,2385.0,19795.5,0.2,
8,5,65414,11440,53974,97,17.49,25808.0,2580.8,214206.4,314206.4,214.21,1.06,4400.0,36520.0,0.39,
8,4,72443,15063,57380,52,20.79,22976.0,2297.6,190700.8,290700.8,190.7,1.05,3224.0,26759.2,0.32,
7,4,81230,16871,64359,19,20.77,21875.0,2187.5,181562.5,281562.5,181.56,1.049,2940.0,24402.0,0.27,
6,4,92097,19118,72979,8,20.76,20958.0,2095.8,173951.4,273951.4,173.95,1.048,3168.0,26294.4,0.23,
5,4,105407,21850,83557,4,20.73,19215.0,1921.5,159484.5,259484.5,159.48,1.046,3035.0,25190.5,0.18,
4,4,121888,25312,96576,0,20.77,18688.0,1868.8,155110.4,255110.4,155.11,1.048,6052.0,50231.6,0.15,
3,4,143013,29484,113529,0,20.62,13221.0,1322.1,109734.3,209734.3,109.73,1.039,9087.0,75422.1,0.09,
8,3,81962,20793,61169,13,25.37,9680.0,968.0,80344.0,180344.0,80.34,1.02,5720.0,47476.0,0.12,
7,3,91109,23093,68016,5,25.35,8841.0,884.1,73380.3,173380.3,73.38,1.019,7273.0,60365.9,0.1,
5,3,116150,29344,86806,1,25.26,6130.0,613.0,50879.0,150879.0,50.88,1.014,12610.0,104663.0,0.05,
6,3,102373,25842,76531,3,25.24,5970.0,597.0,49551.0,149551.0,49.55,1.013,9078.0,75347.4,0.06,
4,3,132600,33202,99398,0,25.04,832.0,83.2,6905.6,106905.6,6.91,1.002,15916.0,132102.8,0.01,
3,3,152770,37622,115148,0,24.63,-6846.0,-684.6,-56821.8,43178.2,-56.82,0.98,19902.0,165186.6,-0.04,
