month,trades,wins,losses,timeouts,win_rate,pnl_pips,profit_usd,profit_inr,roi_percent_on_1lakh
2021-01,2768,348,2420,0,12.57,1456.0,145.6,12084.8,12.08
2021-02,2579,339,2239,1,13.15,1892.0,189.2,15703.6,15.7
2021-03,2694,333,2358,3,12.37,1224.0,122.4,10159.2,10.16
2021-04,1854,205,1647,2,11.07,-28.0,-2.8,-232.4,-0.23
2021-05,1892,194,1694,4,10.28,-568.0,-56.8,-4714.4,-4.71
2021-06,2075,269,1804,2,12.98,1392.0,139.2,11553.6,11.55
2022-01,1535,185,1346,4,12.08,536.0,53.6,4448.8,4.45
2022-02,2065,222,1841,2,10.76,-260.0,-26.0,-2158.0,-2.16
2022-03,3851,474,3377,0,12.31,1660.0,166.0,13778.0,13.78
2022-04,2526,299,2227,0,11.84,660.0,66.0,5478.0,5.48
2022-05,2476,310,2165,1,12.53,1260.0,126.0,10458.0,10.46
2022-06,2160,260,1898,2,12.05,728.0,72.8,6042.4,6.04
2022-07,2048,256,1791,1,12.51,1028.0,102.8,8532.4,8.53
2022-08,1800,244,1555,1,13.56,1588.0,158.8,13180.4,13.18
2022-09,2298,296,2001,1,12.89,1468.0,146.8,12184.4,12.18
2022-10,2299,276,2021,2,12.02,748.0,74.8,6208.4,6.21
2022-11,2113,216,1896,1,10.23,-672.0,-67.2,-5577.6,-5.58
2022-12,1814,213,1601,0,11.74,412.0,41.2,3419.6,3.42
2025-01,3345,337,3007,1,10.08,-1244.0,-124.4,-10325.2,-10.33
2025-02,3721,427,3294,0,11.48,488.0,48.8,4050.4,4.05
2025-03,3895,450,3445,0,11.55,620.0,62.0,5146.0,5.15
2025-04,5941,816,5125,0,13.74,5612.0,561.2,46579.6,46.58
2025-05,5839,719,5120,0,12.31,2528.0,252.8,20982.4,20.98
2025-06,4871,591,4280,0,12.13,1792.0,179.2,14873.6,14.87
2026-01,6379,764,5615,0,11.98,1988.0,198.8,16500.4,16.5
2026-02,6527,932,5595,0,14.28,7444.0,744.4,61785.2,61.79
2026-03,7198,1006,6192,0,13.98,7424.0,742.4,61619.2,61.62
2026-04,6561,888,5672,1,13.54,5728.0,572.8,47542.4,47.54
