sl,rr,trades,wins,losses,wr,pnl,pf,mdd,avg
3,3,152770,37622,115148,24.63,-6846.0,0.98,19902.0,-0.04
3,4,143013,29484,113529,20.62,13221.0,1.039,9087.0,0.09
3,5,134964,23977,110987,17.77,26694.0,1.08,2385.0,0.2
3,6,127770,19875,107895,15.56,34065.0,1.105,1449.0,0.27
3,7,121886,16943,104943,13.9,40974.0,1.13,1359.0,0.34
3,8,116757,14655,102102,12.55,45414.0,1.148,1833.0,0.39
4,3,132600,33202,99398,25.04,832.0,1.002,15916.0,0.01
4,4,121888,25312,96576,20.77,18688.0,1.048,6052.0,0.15
4,5,113309,20094,93215,17.73,29020.0,1.078,2056.0,0.26
4,6,106310,16485,89825,15.51,36340.0,1.101,1940.0,0.34
4,7,100298,13878,86420,13.84,42904.0,1.124,2252.0,0.43
4,8,95094,11869,83225,12.48,46908.0,1.141,2448.0,0.49
5,3,116150,29344,86806,25.26,6130.0,1.014,12610.0,0.05
5,4,105408,21850,83558,20.73,19210.0,1.046,3035.0,0.18
5,5,97075,17107,79968,17.62,27835.0,1.07,2450.0,0.29
5,6,90270,13913,76357,15.41,35605.0,1.093,2785.0,0.39
5,7,84712,11560,73152,13.65,38840.0,1.106,2930.0,0.46
5,8,79974,9735,70239,12.17,38205.0,1.109,4180.0,0.48
6,3,102373,25842,76531,25.24,5970.0,1.013,9078.0,0.06
6,4,92097,19118,72979,20.76,20958.0,1.048,3168.0,0.23
6,5,84223,14882,69341,17.67,30414.0,1.073,3198.0,0.36
6,6,77839,11916,65923,15.31,33438.0,1.085,3834.0,0.43
6,7,72612,9829,62783,13.54,36120.0,1.096,4494.0,0.5
6,8,68350,8307,60043,12.15,38478.0,1.107,4626.0,0.56
7,3,91109,23093,68016,25.35,8841.0,1.019,7273.0,0.1
7,4,81229,16871,64358,20.77,21882.0,1.049,2940.0,0.27
7,5,73773,12964,60809,17.57,28077.0,1.066,3766.0,0.38
7,6,67827,10300,57527,15.19,29911.0,1.074,4711.0,0.44
7,7,63194,8524,54670,13.49,34986.0,1.091,4431.0,0.55
7,8,59062,7109,51953,12.04,34433.0,1.095,4592.0,0.58
8,3,81961,20793,61168,25.37,9688.0,1.02,5720.0,0.12
8,4,72440,15063,57377,20.79,23000.0,1.05,3216.0,0.32
8,5,65405,11440,53965,17.49,25880.0,1.06,4392.0,0.4
8,6,60086,9134,50952,15.2,30816.0,1.076,5096.0,0.51
8,7,55564,7452,48112,13.41,32416.0,1.084,5232.0,0.58
8,8,52182,6227,45955,11.93,30888.0,1.084,6976.0,0.59
